Features removed by redundancy
SGRQ_scoreActive
SGRQ_scoreImpact
pctEmph_Slicer
Insp_Below910_Slicer
Insp_Below856_Slicer
Slicer_IntensityMean_In
pctGasTrap_Slicer
Exp_Below950_Slicer
Exp_Below910_Slicer
Slicer_15pctEx_Total
Slicer_IntensityMean_Ex
pctEmph_UpperThird_Slicer
pctEmph_LowerThird_Slicer
TLCpred_race_adjusted
finalGold
FEV1_utah
FVC_utah
PEF_utah
pre_FEV6
pre_FEV1_FVC
pre_FEF2575
ATS_ERS
deltaFVC
""
""
""
The following are results of wrapper:
Loop Index,Silhouette Value,Removed Feature Index,Removed Feature Name
0,0.1265816110851628,21,Duration_Smoking
1,0.1317638027171707,31,BDR_pct_FVC
2,0.13726655455916345,30,BDR_pct_FEV1
3,0.14341505112803452,20,ATS_PackYears
4,0.14995514974015925,29,deltaFEV1
5,0.15619966636532071,16,Age_Enroll
6,0.16118402948619029,3,SGRQ_scoreSymptom
7,0.16664114196131355,15,WallAreaPct_seg
8,0.17338180636019127,13,Pi10_SRWA
9,0.18285765341634486,14,Pi15_SRWA
10,0.18943429685933402,18,TLCpp_race_adjusted
11,0.19631989990558291,23,FVCpp_utah
12,0.20635310267371365,4,SGRQ_scoreTotal
13,0.212629572849411,11,Slicer_ExpInspMeanAtten_ratio
14,0.22278566346636516,2,BMI
15,0.23019531667698978,25,FEF2575_utah
16,0.24655398827813102,6,Insp_Below950_Slicer
17,0.24062665629532445,5,TLC_Slicer
18,0.2486504404008823,0,Weight_KG
19,0.28248527173360161,7,Slicer_IntensityStdDev_In
20,0.28476598469296954,28,pre_PEF
21,0.29183485907804174,10,Slicer_IntensityStdDev_Ex
22,0.31440769300345028,19,FRCpp_race_adjusted
23,0.34245964495846354,24,FEV1_FVC_utah
24,0.34931565536467563,9,Exp_Below856_Slicer
25,0.37779374472263805,22,FEV1pp_utah
26,0.39270443949362899,27,pre_FVC
27,0.40552448837880717,26,pre_FEV1
28,0.42406456544017707,8,FRC_Slicer
29,0.54393374343102641,1,Height_CM
30,0.84771934615088451,17,FRCpred_race_adjusted
""
""
Last Remaining Feature,MMRCDyspneaScor
