Features removed by redundancy
SGRQ_scoreActive
SGRQ_scoreImpact
pctEmph_Slicer
Insp_Below910_Slicer
Insp_Below856_Slicer
Slicer_IntensityMean_In
pctGasTrap_Slicer
Exp_Below950_Slicer
Exp_Below910_Slicer
Slicer_15pctEx_Total
Slicer_IntensityMean_Ex
pctEmph_UpperThird_Slicer
pctEmph_LowerThird_Slicer
TLCpred_race_adjusted
finalGold
FEV1_utah
FVC_utah
PEF_utah
pre_FEV6
pre_FEV1_FVC
pre_FEF2575
ATS_ERS
deltaFVC
""
""
""
The following are results of wrapper:
Loop Index,Silhouette Value,Removed Feature Index,Removed Feature Name
0,0.097310985195551536,16,FRCpred_race_adjusted
1,0.10797492546345187,17,TLC_Slicer
2,0.11057878465845512,42,CigPerDaySmokAvg
3,0.11430954840615035,26,Age_Enroll
4,0.1173819340345742,48,BronchTimes
5,0.12072648326733942,24,YearsSinceQuit
6,0.12565493992772994,37,Duration_Smoking
7,0.12853594177842212,21,Height_CM
8,0.13742509867881186,40,Resting_SaO2
9,0.13990409887013849,23,deltaFEV1
10,0.14125303685247059,10,Slicer_ExpInspMeanAtten_ratio
11,0.14395375092975371,28,WallAreaPct_seg
12,0.14783795156813748,44,OthSmokYrs
13,0.15433944917469297,18,FVCpp_utah
14,0.15641624040474031,27,Slicer_IntensityStdDev_In
15,0.16157366736179968,46,ExpSmokAtWorkYr
16,0.16348933192948067,19,BDR_pct_FVC
17,0.16959457190932037,52,OthSmokChildYrs
18,0.17766044034172446,31,CigPerDaySmokNow
19,0.18297325512496138,25,BDR_pct_FEV1
20,0.18649905783577198,43,SmokStartAge
21,0.19283795533605116,45,Exacerbation_Frequency
22,0.19707150886281208,8,pre_FVC
23,0.20339948604127431,39,ATS_PackYears
24,0.20656368255073845,14,FRC_Slicer
25,0.21038986641487142,20,TLCpp_race_adjusted
26,0.21530336031214495,2,FEF2575_utah
27,0.22246908495880366,35,distwalked
28,0.22899667161367232,22,Slicer_IntensityStdDev_Ex
29,0.23727715764497548,30,Weight_KG
30,0.24191576908959483,11,pre_PEF
31,0.25186195587223892,0,pre_FEV1
32,0.26145211682309966,29,Pi15_SRWA
33,0.274822190645515,32,Pi10_SRWA
34,0.28993459520803577,33,BMI
35,0.305620590694619,12,MMRCDyspneaScor
36,0.33656910508536886,15,SGRQ_scoreSymptom
37,0.41094968750700683,7,SGRQ_scoreTotal
38,0.42881974967625486,6,Slicer_15pctIn_Total
39,0.44798718714018515,38,PhlegmNumYr
40,0.43554267795043206,1,Exp_Below856_Slicer
41,0.4709735434059576,34,CoughNumYr
42,0.48307892747754944,50,PneuTimes
43,0.49292694685977706,5,FEV1pp_utah
44,0.51310940986204701,13,FRCpp_race_adjusted
45,0.53739713120092125,47,TreatChestTimes
46,0.55872803137935068,9,BODE
47,0.61030321962720635,4,FEV1_FVC_utah
48,0.77293850974835765,3,Insp_Below950_Slicer
49,0.79925465153509878,41,TreatSteroiTimes
50,0.83694203298863734,49,NumEpisodeLastYr
51,0.95380460219074503,36,UpperThird_LowerThird_Slicer
""
""
Last Remaining Feature,ERLungProbtimes
