Features removed by redundancy
SGRQ_scoreActive
SGRQ_scoreImpact
pctEmph_Slicer
Insp_Below910_Slicer
Insp_Below856_Slicer
Slicer_IntensityMean_In
pctGasTrap_Slicer
Exp_Below950_Slicer
Exp_Below910_Slicer
Slicer_15pctEx_Total
Slicer_IntensityMean_Ex
pctEmph_UpperThird_Slicer
pctEmph_LowerThird_Slicer
TLCpred_race_adjusted
finalGold
FEV1_utah
FVC_utah
PEF_utah
pre_FEV6
pre_FEV1_FVC
pre_FEF2575
ATS_ERS
deltaFVC
""
""
""
The following are results of wrapper:
Loop Index,Silhouette Value,Removed Feature Index,Removed Feature Name
0,0.033053252596028218,37,Duration_Smoking
1,0.04103924466489034,17,TLC_Slicer
2,0.030134128277382769,6,Slicer_15pctIn_Total
3,0.036944431104024782,48,BronchTimes
4,0.028730591442375667,47,TreatChestTimes
5,0.055552103665813181,27,Slicer_IntensityStdDev_In
6,0.038253498097772232,50,PneuTimes
7,0.03120003995260744,26,Age_Enroll
8,0.026363451036489259,14,FRC_Slicer
9,0.059052175195373605,18,FVCpp_utah
10,0.048659882804003241,23,deltaFEV1
11,0.035153578473297059,44,OthSmokYrs
12,0.037264683715017524,19,BDR_pct_FVC
13,0.039081446611911173,22,Slicer_IntensityStdDev_Ex
14,0.040771470190922796,25,BDR_pct_FEV1
15,0.038528012003882089,9,BODE
16,0.059542875840634224,10,Slicer_ExpInspMeanAtten_ratio
17,0.042136948957831682,33,BMI
18,0.079567024944984119,51,ERLungProbtimes
19,0.039095861343404259,15,SGRQ_scoreSymptom
20,0.06384699482168911,52,OthSmokChildYrs
21,0.050621340618855905,41,TreatSteroiTimes
22,0.036226102735669813,36,UpperThird_LowerThird_Slicer
23,0.059759972462378783,39,ATS_PackYears
24,0.060990086763131925,13,FRCpp_race_adjusted
25,0.066581302611645216,20,TLCpp_race_adjusted
26,0.055310510282642569,3,Insp_Below950_Slicer
27,0.09822471278222214,31,CigPerDaySmokNow
28,0.061862757374080229,2,FEF2575_utah
29,0.063964023426618249,8,pre_FVC
30,0.10969246710670538,4,FEV1_FVC_utah
31,0.073779189719825125,21,Height_CM
32,0.12228777598229201,7,SGRQ_scoreTotal
33,0.066812297744358373,45,Exacerbation_Frequency
34,0.081967414305626263,34,CoughNumYr
35,0.087314240701771323,46,ExpSmokAtWorkYr
36,0.06872562043618427,40,Resting_SaO2
37,0.073266161715784428,32,Pi10_SRWA
38,0.087830827427279767,24,YearsSinceQuit
39,0.083101885672743195,30,Weight_KG
40,0.092552177901329372,5,FEV1pp_utah
41,0.10263908756182091,0,pre_FEV1
42,0.11227003586717785,35,distwalked
43,0.13080120904816134,16,FRCpred_race_adjusted
44,0.16586382516165965,28,WallAreaPct_seg
45,0.19507048310569869,12,MMRCDyspneaScor
46,0.18715789396227495,11,pre_PEF
47,0.29922916134877142,29,Pi15_SRWA
48,0.38914557389544369,42,CigPerDaySmokAvg
49,0.53741654924805726,43,SmokStartAge
50,0.66669119285351897,1,Exp_Below856_Slicer
51,0.86816396411793906,38,PhlegmNumYr
""
""
Last Remaining Feature,NumEpisodeLastYr
